interval	max_mem_used_MB	min_mem_available_MB	max_disk_space_used_GB	max_mem_utilization_percent	max_disk_space_utilization_percent	max_cpu_utilization_percent
1	624.72265625	339.734375	3.48292541503906	64.7745452630812	2.0119308911254	84.0
2	616.84765625	347.609375	13.479663848877	63.9580236613055	7.78660145360524	-
3	624.3359375	340.12109375	22.493824005127	64.7344482201368	12.9936803068019	-
4	623.08203125	341.375	29.7179489135742	64.6044365960446	17.1667355212187	-
5	608.484375	355.97265625	40.0215225219727	63.0908744800548	23.1186510983395	-
6	611.2109375	353.24609375	48.3104820251465	63.3735788838441	27.9068138329515	84.0
7	623.59375	340.86328125	58.8666381835938	64.6574942993345	34.0046350998147	-
8	628.3359375	336.12109375	66.627628326416	65.1491893511974	38.4878134494403	-
9	356.765625	607.69140625	70.3833351135254	36.9913447090129	40.6573179901828	-
10	456.82421875	507.6328125	70.4804229736328	47.3659482950656	40.7134013229065	-
11	458.80859375	505.6484375	70.6465377807617	47.5716987780527	40.8093584486298	83.0
12	459.390625	505.06640625	70.8325538635254	47.6320468527871	40.9168116549323	-
13	459.9609375	504.49609375	71.0061912536621	47.6911798656142	41.0171142418215	-
14	461.46484375	502.9921875	71.1765747070312	47.8471128103977	41.1155371743626	-
15	480.16015625	484.296875	71.3239707946777	49.7855415733432	41.2006813295278	-
16	459.3125	505.14453125	71.5285606384277	47.6239464400711	41.3188637703213	84.0
17	480.34765625	484.109375	71.6823921203613	49.8049825638616	41.4077253661492	-
18	462.93359375	501.5234375	71.8607711791992	47.999400569459	41.5107670038645	-
19	445.26953125	519.1875	72.0451011657715	46.1678972543651	41.6172462274919	-
